check,passed,max_abs_error
FF1 tpr from integer counts,True,0.0
FF1 fpr from integer counts,True,0.0
FF1 precision from integer counts,True,1.1102230246251565e-16
FF1 f1 from integer counts,True,2.220446049250313e-16
FF1 Clopper Pearson lower,True,7.37257477290143e-17
FF1 Clopper Pearson upper,True,1.8735013540549517e-16
FF2 DEV tpr from integer counts,True,0.0
FF2 DEV fpr from integer counts,True,0.0
FF2 DEV precision from integer counts,True,1.1102230246251565e-16
FF2 DEV f1 from integer counts,True,2.220446049250313e-16
FF2 DEV Clopper Pearson lower,True,9.8879238130678e-17
FF2 DEV Clopper Pearson upper,True,1.8735013540549517e-16
FF2 FINAL tpr from integer counts,True,1.1102230246251565e-16
FF2 FINAL fpr from integer counts,True,9.974659986866641e-17
FF2 FINAL precision from integer counts,True,1.1102230246251565e-16
FF2 FINAL f1 from integer counts,True,3.3306690738754696e-16
FF2 FINAL Clopper Pearson lower,True,9.996344030316351e-17
FF2 FINAL Clopper Pearson upper,True,2.0209528495129803e-16
N10 matched tpr from integer counts,True,0.0
N10 matched fpr from integer counts,True,9.8879238130678e-17
N10 matched precision from integer counts,True,1.1102230246251565e-16
N10 matched f1 from integer counts,True,2.220446049250313e-16
N10 matched Clopper Pearson lower,True,9.974659986866641e-17
N10 matched Clopper Pearson upper,True,9.8879238130678e-17
FF3 linear tpr from integer counts,True,0.0
FF3 linear fpr from integer counts,True,9.8879238130678e-17
FF3 linear precision from integer counts,True,1.1102230246251565e-16
FF3 linear f1 from integer counts,True,2.220446049250313e-16
FF3 linear Clopper Pearson lower,True,9.8879238130678e-17
FF3 linear Clopper Pearson upper,True,9.8879238130678e-17
FF3 XGB tpr from integer counts,True,0.0
FF3 XGB fpr from integer counts,True,9.194034422677078e-17
FF3 XGB precision from integer counts,True,1.1102230246251565e-16
FF3 XGB f1 from integer counts,True,1.1102230246251565e-16
FF3 XGB Clopper Pearson lower,True,9.8879238130678e-17
FF3 XGB Clopper Pearson upper,True,9.367506770274758e-17
paired runs B2000 DOMAIN_OOD_EXACT,True,0.0
paired runs B2000 DOMAIN_TEMPLATE_OOD_EXACT,True,0.0
paired runs B2000 LATE_TEST_Q4,True,0.0
paired runs B2000 OFFICIAL_TEST,True,0.0
paired runs B2000 TEMPLATE_OOD_EXACT,True,0.0
paired runs B5000 DOMAIN_OOD_EXACT,True,0.0
paired runs B5000 DOMAIN_TEMPLATE_OOD_EXACT,True,0.0
paired runs B5000 LATE_TEST_Q4,True,0.0
paired runs B5000 OFFICIAL_TEST,True,0.0
paired runs B5000 TEMPLATE_OOD_EXACT,True,0.0
paired runs B10000 DOMAIN_OOD_EXACT,True,0.0
paired runs B10000 DOMAIN_TEMPLATE_OOD_EXACT,True,0.0
paired runs B10000 LATE_TEST_Q4,True,0.0
paired runs B10000 OFFICIAL_TEST,True,0.0
paired runs B10000 TEMPLATE_OOD_EXACT,True,0.0
paired runs B20000 DOMAIN_OOD_EXACT,True,0.0
paired runs B20000 DOMAIN_TEMPLATE_OOD_EXACT,True,0.0
paired runs B20000 LATE_TEST_Q4,True,0.0
paired runs B20000 OFFICIAL_TEST,True,0.0
paired runs B20000 TEMPLATE_OOD_EXACT,True,0.0
paired runs B50000 DOMAIN_OOD_EXACT,True,0.0
paired runs B50000 DOMAIN_TEMPLATE_OOD_EXACT,True,0.0
paired runs B50000 LATE_TEST_Q4,True,0.0
paired runs B50000 OFFICIAL_TEST,True,0.0
paired runs B50000 TEMPLATE_OOD_EXACT,True,0.0
