block,coverage,pass
FF1_modality_2x2,R0/RU/RT/RUT; N5; Linear+MLP,True
FF1_contrastive,historical R2C/R3C retained unchanged,True
FF2_label_budgets,"2k,5k,10k,20k,50k,100k,200k",True
FF2_representations,"R0,RU,RT,RUT",True
FF2_probes,"Linear, MLP",True
FF2_B95,DEV B95 for all four reps/probes,True
FF2_marginal_label_utility,all four reps/probes,True
FF2_deep_N3,20k and 200k; RUT + historical R0/RT,True
XGB_all_budgets,historical independent TF-IDF/XGB system reference,True
XGB_vs_Deep_updated,includes new Deep RUT at 20k/200k,True
FF3_scenarios,"OFFICIAL, Domain, Template, Domain+Template, Late",True
FF3_N10,historical R0/RT + new RU/RUT; same 10 pairings,True
FPR_grid,"0.01%,0.05%,0.1%,0.25%,0.5%,1%,2%",True
FF4_DUAL_TRI_budgets,20k and 200k,True
FF4_branch_modes,"URL,Text,Equal,Gated plus DOM for TRI",True
FF4_gate_means,URL/Text/DOM mean fusion weights on DEV,True
FF4_DOM_gate,same historical rule reapplied on DEV,True
FF4_cascade_definition,single historical URL-first policy re-frozen on DEV,True
FF4_cascade_final,selected 200k architecture; all FPRs and 5 scenarios,True
Operational_full_metrics,"latency,p95,throughput,VRAM,GPU telemetry,model bytes,escalation",True
Operational_XGB_reference,historical unchanged,True
Operational_1M_illustration,if cascade selected,True
Bootstrap,1000 reps AP/P@R90,True
