file,line,key,locator,claim_context,source_file,assessment
chapter01.tex,9,APWG (2025),S. 3--4,"Phishing zählt zu den dauerhaft relevanten Bedrohungen der digitalen Wirtschaft. Allein im ersten Quartal 2025 erfasste die Anti-Phishing Working Group mehr als eine Million Phishing-Angriffe; die im selben Bericht wiedergegebene Branchenanalyse von OpSec Security ordnet Online-Payment-Diensten sowie Finanz- und Bankdienstleistungen zusammen 30,9~\% der von OpSec erfassten Angriffe zu (vgl. [APWG (2025), S. 3--4]).",apwg2025.pdf,Q1 2025: 1.003.924 Angriffe S. 3; Branchenanteile S. 4 stammen aus OpSec-Auswertung. Nenner im Text getrennt.
chapter01.tex,12,APWG (2025),S. 2,"Im Zentrum vieler Angriffe stehen manipulierte Webseiten, die vertrauenswürdige Dienste imitieren und Nutzer zur Preisgabe schützenswerter Informationen verleiten (vgl. [APWG (2025), S. 2]). Für ihre automatisierte Erkennung bilden insbesondere URL und HTML-Inhalt relevante Informationsquellen. Während die URL Domain-, Pfad- und Parameterinformationen enthält, stellt das HTML-Dokument textuelle, verlinkungsbezogene und strukturelle Eigenschaften der Webseite bereit (vgl. [Dalton et al. (2026), S. 2--3]).",apwg2025.pdf,Q1 2025: 1.003.924 Angriffe S. 3; Branchenanteile S. 4 stammen aus OpSec-Auswertung. Nenner im Text getrennt.
chapter01.tex,16,Dalton et al. (2026),S. 2--3,"Im Zentrum vieler Angriffe stehen manipulierte Webseiten, die vertrauenswürdige Dienste imitieren und Nutzer zur Preisgabe schützenswerter Informationen verleiten (vgl. [APWG (2025), S. 2]). Für ihre automatisierte Erkennung bilden insbesondere URL und HTML-Inhalt relevante Informationsquellen. Während die URL Domain-, Pfad- und Parameterinformationen enthält, stellt das HTML-Dokument textuelle, verlinkungsbezogene und strukturelle Eigenschaften der Webseite bereit (vgl. [Dalton et al. (2026), S. 2--3]).",dalton2026v2.pdf,"Verbindlich arXiv v2 vom 11.02.2026; URL/HTML und Ähnlichkeiten S. 1–3, Trennverfahren S. 5–6, Prävalenz/Metriken S. 6–8. Kein direkter Benchmark-Sieg aus umgerechneter Prävalenz."
chapter01.tex,20,ENISA (2024),S. 67,"Die Erkennung wird dadurch erschwert, dass sich Phishing-Kampagnen und Webseiten fortlaufend verändern. Generative Künstliche Intelligenz kann Angreifer zusätzlich bei der Erstellung maßgeschneiderter Kampagnen unterstützen (vgl. [ENISA (2024), S. 67]). Gleichzeitig entstehen regelmäßig neue Webseiten und Angriffsvarianten. Während Sperrlisten insbesondere bekannte Phishing-Webseiten erfassen, können lernbasierte Verfahren URL- und HTML-Eigenschaften zur Klassifikation bislang nicht beobachteter Webseiten nutzen (vgl. [Dalton et al. (2026), S. 1--3]). Eine hohe Leistung auf datensatznahen Testdaten erlaubt dabei noch keine belastbare Aussage über bislang unbekannte Webseiten. Ähnliche Seiten oder gemeinsame Phishing-Kits können in Trainings- und Testdaten auftreten und dadurch die Wiedererkennung bereits bekannter Strukturen begünstigen (vgl. [Dalton et al. (2026), S. 3]).",enisa2024.pdf,S. 67: generative KI und maßgeschneiderte Phishing-Kampagnen. DOI im Originalimpressum bestätigt.
chapter01.tex,23,Dalton et al. (2026),S. 1--3,"Die Erkennung wird dadurch erschwert, dass sich Phishing-Kampagnen und Webseiten fortlaufend verändern. Generative Künstliche Intelligenz kann Angreifer zusätzlich bei der Erstellung maßgeschneiderter Kampagnen unterstützen (vgl. [ENISA (2024), S. 67]). Gleichzeitig entstehen regelmäßig neue Webseiten und Angriffsvarianten. Während Sperrlisten insbesondere bekannte Phishing-Webseiten erfassen, können lernbasierte Verfahren URL- und HTML-Eigenschaften zur Klassifikation bislang nicht beobachteter Webseiten nutzen (vgl. [Dalton et al. (2026), S. 1--3]). Eine hohe Leistung auf datensatznahen Testdaten erlaubt dabei noch keine belastbare Aussage über bislang unbekannte Webseiten. Ähnliche Seiten oder gemeinsame Phishing-Kits können in Trainings- und Testdaten auftreten und dadurch die Wiedererkennung bereits bekannter Strukturen begünstigen (vgl. [Dalton et al. (2026), S. 3]).",dalton2026v2.pdf,"Verbindlich arXiv v2 vom 11.02.2026; URL/HTML und Ähnlichkeiten S. 1–3, Trennverfahren S. 5–6, Prävalenz/Metriken S. 6–8. Kein direkter Benchmark-Sieg aus umgerechneter Prävalenz."
chapter01.tex,26,Dalton et al. (2026),S. 3,"Die Erkennung wird dadurch erschwert, dass sich Phishing-Kampagnen und Webseiten fortlaufend verändern. Generative Künstliche Intelligenz kann Angreifer zusätzlich bei der Erstellung maßgeschneiderter Kampagnen unterstützen (vgl. [ENISA (2024), S. 67]). Gleichzeitig entstehen regelmäßig neue Webseiten und Angriffsvarianten. Während Sperrlisten insbesondere bekannte Phishing-Webseiten erfassen, können lernbasierte Verfahren URL- und HTML-Eigenschaften zur Klassifikation bislang nicht beobachteter Webseiten nutzen (vgl. [Dalton et al. (2026), S. 1--3]). Eine hohe Leistung auf datensatznahen Testdaten erlaubt dabei noch keine belastbare Aussage über bislang unbekannte Webseiten. Ähnliche Seiten oder gemeinsame Phishing-Kits können in Trainings- und Testdaten auftreten und dadurch die Wiedererkennung bereits bekannter Strukturen begünstigen (vgl. [Dalton et al. (2026), S. 3]).",dalton2026v2.pdf,"Verbindlich arXiv v2 vom 11.02.2026; URL/HTML und Ähnlichkeiten S. 1–3, Trennverfahren S. 5–6, Prävalenz/Metriken S. 6–8. Kein direkter Benchmark-Sieg aus umgerechneter Prävalenz."
chapter01.tex,34,ENISA (2020),S. 7,"Für einen betrieblichen Einsatz ist die Klassifikationsleistung nicht losgelöst von den hierfür eingesetzten Ressourcen zu betrachten. Erstens ist relevant, welcher Anteil tatsächlicher Phishing-Webseiten bei einer niedrigen False-Positive-Rate weiterhin erkannt wird, da Fehlalarme legitime Webseiten betreffen und nachgelagerte Sicherheitsprozesse belasten können. Die False-Positive-Rate wird entsprechend auch als Qualitätskennzahl von Security Operations Centers gemeinsam mit Größen wie Eskalationen und Bearbeitungsaufwand betrachtet (vgl. [ENISA (2020), S. 7]).",enisa2020soc.pdf,"How to set up CSIRT and SOC, gedruckte S. 7: FPR, Eskalationen und Aufwand als KPIs. Falschen Bericht im Verzeichnis ersetzt."
chapter01.tex,39,Roh et al. (2021),S. 1,"Zweitens stellt die Verfügbarkeit gelabelter Trainingsdaten eine Ressourcengrenze dar. Die Beschaffung und zuverlässige Annotation hochwertiger Trainingsdaten verursacht zusätzlichen Aufwand und gilt als wesentlicher Engpass datengetriebener Systeme (vgl. [Roh et al. (2021), S. 1]). Drittens stellt sich bei einem leistungsstarken multimodalen Klassifikationssystem die Frage, wie der zusätzliche Informationsumfang technisch effizient genutzt werden kann. Für den Systementwurf ist damit relevant, ob eindeutige Fälle bereits auf Basis der URL-Repräsentation abgeschlossen werden können, während unsichere Fälle weiterhin die vollständige multimodale Verarbeitung durchlaufen. Vor dem Hintergrund begrenzter Budgets und fehlender IT-Sicherheitsspezialisten, wie sie insbesondere für kleine und mittlere Unternehmen berichtet werden, sind damit neben der maximalen Klassifikationsleistung auch der Bedarf an gelabelter Supervision und die bedarfsgerechte Nutzung der verfügbaren Modellkomponenten relevant (vgl. [ENISA (2021), S. 14]).",roh2021.pdf,Autorenfassung S. 1: Datensammlung/Annotation als Engpass. Publikationsjahr 2021 von Autorenfassungsdatum unterschieden.
chapter01.tex,47,ENISA (2021),S. 14,"Zweitens stellt die Verfügbarkeit gelabelter Trainingsdaten eine Ressourcengrenze dar. Die Beschaffung und zuverlässige Annotation hochwertiger Trainingsdaten verursacht zusätzlichen Aufwand und gilt als wesentlicher Engpass datengetriebener Systeme (vgl. [Roh et al. (2021), S. 1]). Drittens stellt sich bei einem leistungsstarken multimodalen Klassifikationssystem die Frage, wie der zusätzliche Informationsumfang technisch effizient genutzt werden kann. Für den Systementwurf ist damit relevant, ob eindeutige Fälle bereits auf Basis der URL-Repräsentation abgeschlossen werden können, während unsichere Fälle weiterhin die vollständige multimodale Verarbeitung durchlaufen. Vor dem Hintergrund begrenzter Budgets und fehlender IT-Sicherheitsspezialisten, wie sie insbesondere für kleine und mittlere Unternehmen berichtet werden, sind damit neben der maximalen Klassifikationsleistung auch der Bedarf an gelabelter Supervision und die bedarfsgerechte Nutzung der verfügbaren Modellkomponenten relevant (vgl. [ENISA (2021), S. 14]).",enisa2021sme.pdf,"Cybersecurity for SMEs, gedruckte S. 14: Budgets und Fachkräftemangel. Falschen Bericht im Verzeichnis ersetzt."
chapter01.tex,52,Devlin et al. (2019),S. 4171 und 4173--4175,"Self-Supervised Representation Learning (SSLR) setzt an dieser Ausgangslage auf Ebene der Repräsentationsbildung an. Transformerbasierte Encoder können anhand ungelabelter Daten selbstüberwacht vortrainiert und anschließend für eine gelabelte Downstream-Aufgabe genutzt werden (vgl. [Devlin et al. (2019), S. 4171 und 4173--4175]). Darauf aufbauend kann das Vortraining gezielt auf den ungelabelten Trainingsdaten einer konkreten Zielaufgabe fortgesetzt werden. Gururangan et al. bezeichnen diese Weiteranpassung als Task-Adaptive Pretraining (TAPT) und zeigen über mehrere Aufgaben hinweg Verbesserungen gegenüber ausschließlich allgemein vortrainierten Modellen (vgl. [Gururangan et al. (2020), S. 8346--8347]). Für die Phishing-Webseitenerkennung ist damit zu untersuchen, welchen zusätzlichen Beitrag TAPT gegenüber bereits allgemein vortrainierten Repräsentationen leistet, wie sich dieser Beitrag bei unterschiedlicher Verfügbarkeit gelabelter Trainingsdaten verändert und wie die daraus entstehende Repräsentationsbasis in ein leistungsstarkes multimodales Klassifikationssystem überführt werden kann.",devlin2019.pdf,"S. 4171–4175: BERT, bidirektionales MLM und Maskierungsanteile; S. 4179: eingefrorene Merkmale. CLS ist keine Beschreibung des eigenen Mean-Poolings."
chapter01.tex,56,Gururangan et al. (2020),S. 8346--8347,"Self-Supervised Representation Learning (SSLR) setzt an dieser Ausgangslage auf Ebene der Repräsentationsbildung an. Transformerbasierte Encoder können anhand ungelabelter Daten selbstüberwacht vortrainiert und anschließend für eine gelabelte Downstream-Aufgabe genutzt werden (vgl. [Devlin et al. (2019), S. 4171 und 4173--4175]). Darauf aufbauend kann das Vortraining gezielt auf den ungelabelten Trainingsdaten einer konkreten Zielaufgabe fortgesetzt werden. Gururangan et al. bezeichnen diese Weiteranpassung als Task-Adaptive Pretraining (TAPT) und zeigen über mehrere Aufgaben hinweg Verbesserungen gegenüber ausschließlich allgemein vortrainierten Modellen (vgl. [Gururangan et al. (2020), S. 8346--8347]). Für die Phishing-Webseitenerkennung ist damit zu untersuchen, welchen zusätzlichen Beitrag TAPT gegenüber bereits allgemein vortrainierten Repräsentationen leistet, wie sich dieser Beitrag bei unterschiedlicher Verfügbarkeit gelabelter Trainingsdaten verändert und wie die daraus entstehende Repräsentationsbasis in ein leistungsstarkes multimodales Klassifikationssystem überführt werden kann.",gururangan2020.pdf,S. 8342–8343 DAPT/MLM; S. 8346–8347 TAPT und Ergebnisse. Zusätzliche Anpassung ist kein universelles Verbesserungsversprechen.
